# Datennamhe mit Kamiokanne 3. - 22. Apr. 2018  
#  Kanne 2 Karlsruhe, 1100 V, Trg. 45mv, Doppelpuls > 35 mV

# Run Summary: started 180403-2005  Trun=1623453.2s
#             Ntrig=6517345   Tlife=1574187.2s
#             Nacc=6403821 Ndble=1881

# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
3165230, 496, 1.792,   1.792, 0.0487
3167273, 497, 0.888,   0.888, 0.236
3168553, 498, 5.404,   5.404, 0.38
3178070, 499, 0.2,   0.2, 0.205
3181160, 500, 3.12,   3.12, 0.123
3183272, 501, 0.18,   0.18, 0.111
3192062, 502, 3.904,   3.904, 0.0916
3193570, 503, 6.556,   6.556, 0.0877
3194104, 504, 5.668,   5.668, 0.0799
3202624, 505, 1.552,   1.552, 0.0565
3209078, 506, 14.16,   14.16, 0.0565
3210789, 507, 1.328,   1.328, 0.174
3218334, 508, 1.444,   1.444, 0.0526
3221531, 509, 6.28,   6.28, 0.74
3227946, 510, 2.048,   2.048, 0.103
3232261, 511, 0.54,   0.54, 0.0565
3245319, 512, 12.17,   12.17, 0.111
3263052, 513, 0.968,   0.968, 0.0565
3270661, 514, 4.288,   4.288, 0.0526
3271423, 515, 0.304,   0.304, 0.115
3276479, 516, 0.36,   0.36, 0.0643
3277600, 517, 2.536,   2.536, 0.338
3292118, 518, 0.624,   0.624, 0.0682
3296105, 519, 2.596,   2.596, 0.0565
3297113, 520, 2.008,   2.008, 0.0916
3297916, 521, 2.94,   2.94, 0.103
3303488, 522, 11.2,   11.2, 0.162
3307811, 523, 0.656,   0.656, 0.0487
3308617, 524, 1.964,   1.964, 0.256
3322149, 525, 1.052,   1.052, 0.0526
3333085, 526, 0.316,   0.316, 0.185
3333130, 527, 0.364,   0.364, 0.213
3335321, 528, 0.728,   0.728, 0.263
3335717, 529, 0.884,   0.884, 0.0604
3338449, 530, 1.42,   1.42, 0.24
3348477, 531, 4.028,   4.028, 0.119
3353888, 532, 2.344,   2.344, 0.119
3354932, 533, 11.78,   11.78, 0.15
3364132, 534, 0.26,   0.26, 0.0955
3364320, 535, 3.016,   3.016, 0.193
3365751, 536, 0.572,   0.572, 0.259
3370320, 537, 1.404,   1.404, 0.0955
3370811, 538, 3.092,   3.092, 0.127
3371252, 539, 0.376,   0.376, 0.201
3373399, 540, 1.884,   1.884, 0.0565
3376919, 541, 0.736,   0.736, 0.131
3378374, 542, 5.484,   5.484, 0.47
3386454, 543, 1.652,   1.652, 0.287
3396881, 544, 2.5,   2.5, 0.322
3402341, 545, 3.804,   3.804, 0.0838
3410025, 546, 4.016,   4.016, 0.388
3411629, 547, 4.752,   4.752, 0.267
3416590, 548, 1.244,   1.244, 0.107
3422810, 549, 11.81,   11.81, 0.115
3426970, 550, 6.34,   6.34, 0.252
3436457, 551, 4.728,   4.728, 0.0604
3440022, 552, 7.484,   7.484, 0.0487
3441942, 553, 2.412,   2.412, 0.224
3445985, 554, 3.068,   3.068, 0.135
3457905, 555, 1.044,   1.044, 0.0877
3464580, 556, 11.56,   11.56, 0.0877
3467006, 557, 7.468,   7.468, 0.455
3496003, 558, 4.564,   4.564, 0.174
3501901, 559, 2.316,   2.316, 0.0682
3503359, 560, 14.78,   14.78, 0.205
3508966, 561, 10.35,   10.35, 0.103
3519016, 562, 3.748,   3.748, 0.115
3522604, 563, 2.06,   2.06, 0.197
3532470, 564, 2.98,   2.98, 0.345
3535079, 565, 1.692,   1.692, 0.0526
3544387, 566, 14.78,   14.78, 0.24
3551719, 567, 11.61,   11.61, 0.451
3551899, 568, 0.172,   0.172, 0.193
3555123, 569, 1.192,   1.192, 0.177
3557121, 570, 4.672,   4.672, 0.146
3560181, 571, 1.904,   1.904, 0.267
3560935, 572, 3,   3, 0.17
3562141, 573, 0.816,   0.816, 0.416
3584061, 574, 3.164,   3.164, 0.259
3588216, 575, 1.42,   1.42, 0.076
3589324, 576, 12.9,   12.9, 0.107
3591620, 577, 0.288,   0.288, 0.135
3595576, 578, 2.708,   2.708, 0.248
3597113, 579, 11.56,   11.56, 0.115
3601019, 580, 12.06,   12.06, 0.299
3609731, 581, 1.524,   1.524, 0.0643
3610299, 582, 5.76,   5.76, 0.162
3625776, 583, 0.944,   0.944, 0.0643
3629467, 584, 10.84,   10.84, 0.224
3630255, 585, 3.456,   3.456, 0.236
3631618, 586, 0.628,   0.628, 0.388
3634887, 587, 1.6,   1.6, 0.544
3638566, 588, 2.052,   2.052, 0.248
3644254, 589, 2.148,   2.148, 0.338
3663943, 590, 6.608,   6.608, 0.0682
3670896, 591, 0.788,   0.788, 0.0565
3678890, 592, 0.948,   0.948, 0.111
3695094, 593, 0.72,   0.72, 0.0526
